index,canonical_name,mode,status,filename,size_bytes,source_url,source_page,note
156,"AKR12 ""Emberbird""",ADD_NEW,OK_DISCOVERED,akr12_emberbird.webp,36022,https://ggstand.com/public/storage/items/1725201239f0e45acd25ba0e63fe67e42af663f617.png,https://ggstand.com/en/case/arcane,source=WEBP; alpha=87.6228%
157,"AKR12 ""Transistor""",ADD_NEW,OK_DISCOVERED,akr12_transistor.webp,31494,https://ggstand.com/public/storage/items/16880797109fb7aaa2bea3254c5e041d48a6d0d368.png,https://ggstand.com/en/case/akr12,source=WEBP; alpha=86.4914%
158,"AKR ""Evolution""",ADD_NEW,OK_DISCOVERED,akr_evolution.webp,42332,https://ggstand.com/public/storage/items/168840530759634da69cca3f3be008be22330adfa9.png,https://ggstand.com/en/case/akr,source=WEBP; alpha=85.5347%
159,"AKR ""Nano""",ADD_NEW,OK_DISCOVERED,akr_nano.webp,38852,https://ggstand.com/public/storage/items/168807900898f088eee1bef2cf6b1d181d6c04e814.png,https://ggstand.com/en/case/akr,source=WEBP; alpha=85.0380%
160,"AKR ""Tag King""",ADD_NEW,OK_DISCOVERED,akr_tag_king.webp,32672,https://ggstand.com/public/storage/items/1689704595d8d2d193f428da3c196a03f1e1b82e9c.png,https://ggstand.com/en/case/akr,source=WEBP; alpha=91.1079%
161,"AKR ""Worm""",ADD_NEW,OK_KNOWN_OVERRIDE,akr_worm.webp,40294,https://skins4fps.com/images/standoff/akr-worm.png,,source=PNG; alpha=82.1724%
162,"AWM ""Dark Camo""",ADD_NEW,UNRESOLVED,,0,,,No exact weapon+skin image URL found for target AWM | Dark Camo
163,"AWM ""Poseidon""",ADD_NEW,OK_DISCOVERED,awm_poseidon.webp,23900,https://ggstand.com/public/storage/items/1689692326a7908af5d02b9930daa78115a09dd10a.png,https://ggstand.com/en/case/awm,source=WEBP; alpha=92.3439%
164,"AWM ""Xenoguard""",ADD_NEW,OK_DISCOVERED,awm_xenoguard.webp,13862,https://ggstand.com/public/storage/items/1689856804b75f82ace4b4aac3ba1dc9316a1f5852.png,https://ggstand.com/en/case/awm,source=WEBP; alpha=95.1958%
165,"Berettas ""Arctic Camo""",ADD_NEW,OK_DISCOVERED,berettas_arctic_camo.webp,17478,https://ggstand.com/public/storage/items/17661424230897e8cf05df65146e240f77ff1bd49c.png,https://ggstand.com/en/case/berettas,source=WEBP; alpha=83.1558%
166,"Berettas ""Damascus""",ADD_NEW,OK_DISCOVERED,berettas_damascus.webp,26534,https://ggstand.com/public/storage/items/168840547797e5a70d02ab9b6455f57cfb3c3529a0.png,https://ggstand.com/en/case/berettas,source=WEBP; alpha=90.6265%
167,"Berettas ""Hexagon""",ADD_NEW,OK_DISCOVERED,berettas_hexagon.webp,26900,https://ggstand.com/public/storage/items/16897045037af48f725fa5655843ca0de60eec5058.png,https://ggstand.com/en/case/berettas,source=WEBP; alpha=84.1370%
168,"Berettas ""Marco""",ADD_NEW,OK_DISCOVERED,berettas_marco.webp,15342,https://ggstand.com/public/storage/items/177737211627c0a05884aeddbdd703ff3b574ec718.png,https://ggstand.com/en/case/berettas,source=WEBP; alpha=83.2893%
169,"Berettas ""Royal Rose""",ADD_NEW,OK_DISCOVERED,berettas_royal_rose.webp,33810,https://ggstand.com/public/storage/items/168840547428475236c9484feac31dcc99c6889eae.png,https://ggstand.com/en/case/berettas,source=WEBP; alpha=90.7074%
170,"Berettas ""Verdict""",ADD_NEW,OK_DISCOVERED,berettas_verdict.webp,18704,https://ggstand.com/public/storage/items/1742828381e9bccff3e3431bd7380c7d64c00f6331.png,https://ggstand.com/en/case/berettas,source=WEBP; alpha=83.2306%
171,"Butterfly ""Glitch""",ADD_NEW,OK_DISCOVERED,butterfly_glitch.webp,15898,https://ggstand.com/public/storage/items/1771274662d43c4deb835e12306e913a28fe64bf94.png,https://ggstand.com/en/case/ezknife-m-st,source=WEBP; alpha=91.7198%
172,"Butterfly ""Kumo""",ADD_NEW,OK_DISCOVERED,butterfly_kumo.webp,14608,https://ggstand.com/public/storage/items/1771274640fad5ba96b824377de73c57846d1e6538.png,https://ggstand.com/en/case/ezknife-m-st,source=WEBP; alpha=91.9731%
